id_rubrique;nom
22864;Charmes
11861;Liez
22721;Mouche
23481;Vingeanne
26564;Etang de Bouzey
26762;Etang de Bairon
26666;Etang de Parroy
12641;Stock
12121;Gondrexange
12661;Mittersheim
12701;Champagney
